,x,y
0,761,483
1,762,483
2,763,483
3,764,483
4,765,483
5,766,483
6,767,483
7,768,483
8,769,483
9,770,483
10,771,483
11,772,483
12,773,483
13,774,483
14,775,483
15,776,483
16,777,483
17,778,483
18,779,483
19,780,483
20,781,483
21,782,483
22,783,483
23,784,483
24,785,483
25,786,483
26,787,483
27,788,483
28,789,483
29,790,483
30,791,483
31,792,483
32,793,483
33,794,483
34,795,483
35,796,483
36,797,483
37,798,483
38,799,483
39,800,483
40,801,483
41,802,483
42,803,483
43,804,483
44,805,483
45,806,483
46,807,483
47,731,482
48,732,482
49,733,482
50,734,482
51,735,482
52,736,482
53,737,482
54,738,482
55,739,482
56,740,482
57,741,482
58,742,482
59,743,482
60,744,482
61,745,482
62,746,482
63,747,482
64,748,482
65,749,482
66,750,482
67,751,482
68,752,482
69,753,482
70,754,482
71,755,482
72,756,482
73,757,482
74,758,482
75,759,482
76,760,482
77,808,482
78,809,482
79,729,481
80,730,481
81,810,481
82,811,481
83,812,481
84,813,481
85,814,481
86,815,481
87,816,481
88,817,481
89,708,480
90,709,480
91,710,480
92,711,480
93,712,480
94,713,480
95,714,480
96,715,480
97,716,480
98,717,480
99,718,480
100,719,480
101,720,480
102,721,480
103,722,480
104,723,480
105,724,480
106,725,480
107,726,480
108,727,480
109,728,480
110,818,480
111,819,480
112,820,480
113,821,480
114,822,480
115,689,479
116,690,479
117,691,479
118,692,479
119,693,479
120,694,479
121,695,479
122,696,479
123,697,479
124,698,479
125,699,479
126,700,479
127,701,479
128,702,479
129,703,479
130,704,479
131,705,479
132,706,479
133,707,479
134,823,479
135,824,479
136,825,479
137,674,478
138,675,478
139,676,478
140,677,478
141,678,478
142,679,478
143,680,478
144,681,478
145,682,478
146,683,478
147,684,478
148,685,478
149,686,478
150,687,478
151,688,478
152,826,478
153,659,477
154,660,477
155,661,477
156,662,477
157,663,477
158,664,477
159,665,477
160,666,477
161,667,477
162,668,477
163,669,477
164,670,477
165,671,477
166,672,477
167,673,477
168,827,477
169,828,477
170,658,476
171,829,476
172,644,475
173,645,475
174,646,475
175,647,475
176,648,475
177,649,475
178,650,475
179,651,475
180,652,475
181,653,475
182,654,475
183,655,475
184,656,475
185,657,475
186,830,475
187,831,475
188,631,474
189,632,474
190,633,474
191,634,474
192,635,474
193,636,474
194,637,474
195,638,474
196,639,474
197,640,474
198,641,474
199,642,474
200,643,474
201,832,474
202,619,473
203,620,473
204,621,473
205,622,473
206,623,473
207,624,473
208,625,473
209,626,473
210,627,473
211,628,473
212,629,473
213,630,473
214,833,473
215,607,472
216,608,472
217,609,472
218,610,472
219,611,472
220,612,472
221,613,472
222,614,472
223,615,472
224,616,472
225,617,472
226,618,472
227,834,472
228,596,471
229,597,471
230,598,471
231,599,471
232,600,471
233,601,471
234,602,471
235,603,471
236,604,471
237,605,471
238,606,471
239,835,471
240,595,470
241,585,469
242,586,469
243,587,469
244,588,469
245,589,469
246,590,469
247,591,469
248,592,469
249,593,469
250,594,469
251,836,469
252,574,468
253,575,468
254,576,468
255,577,468
256,578,468
257,579,468
258,580,468
259,581,468
260,582,468
261,583,468
262,584,468
263,564,467
264,565,467
265,566,467
266,567,467
267,568,467
268,569,467
269,570,467
270,571,467
271,572,467
272,573,467
273,837,467
274,555,466
275,556,466
276,557,466
277,558,466
278,559,466
279,560,466
280,561,466
281,562,466
282,563,466
283,838,466
284,553,465
285,554,465
286,544,464
287,545,464
288,546,464
289,547,464
290,548,464
291,549,464
292,550,464
293,551,464
294,552,464
295,839,464
296,536,463
297,537,463
298,538,463
299,539,463
300,540,463
301,541,463
302,542,463
303,543,463
304,527,462
305,528,462
306,529,462
307,530,462
308,531,462
309,532,462
310,533,462
311,534,462
312,535,462
313,840,462
314,518,461
315,519,461
316,520,461
317,521,461
318,522,461
319,523,461
320,524,461
321,525,461
322,526,461
323,511,460
324,512,460
325,513,460
326,514,460
327,515,460
328,516,460
329,517,460
330,841,460
331,510,459
332,502,458
333,503,458
334,504,458
335,505,458
336,506,458
337,507,458
338,508,458
339,509,458
340,495,457
341,496,457
342,497,457
343,498,457
