,x,y
603,242,383
604,243,383
605,244,383
606,240,382
607,241,382
608,238,381
609,239,381
610,237,380
611,235,379
612,236,379
613,233,378
614,234,378
615,231,377
616,232,377
617,229,376
618,230,376
619,228,375
620,226,374
621,227,374
622,224,373
623,225,373
624,222,372
625,223,372
626,220,371
627,221,371
628,219,370
629,217,369
630,218,369
631,216,368
632,214,367
633,215,367
634,212,366
635,213,366
636,210,365
637,211,365
638,208,364
639,209,364
640,207,363
641,206,362
642,204,361
643,205,361
644,202,360
645,203,360
646,201,359
647,200,358
648,198,357
649,199,357
650,196,356
651,197,356
652,194,355
653,195,355
654,193,354
655,192,353
656,191,352
657,189,351
658,190,351
659,188,350
660,186,349
661,187,349
662,185,348
663,184,347
664,183,346
665,182,345
666,180,344
667,181,344
668,179,343
669,178,342
670,177,341
671,176,340
672,174,339
673,175,339
674,173,338
675,172,337
676,171,336
677,170,335
678,169,334
679,168,333
680,167,332
681,166,331
682,165,330
683,164,329
684,163,327
685,162,326
686,161,325
687,160,324
688,159,323
689,158,321
690,157,319
691,156,318
692,155,316
693,154,315
694,153,312
695,152,308
696,151,303
697,150,300
698,149,293
699,148,279
700,147,263
701,146,246
702,145,225
703,144,205
704,143,202
705,142,175
706,116,159
707,117,159
708,118,159
709,119,159
710,120,159
711,121,159
712,122,159
713,848,126
714,849,126
715,864,126
716,865,126
717,866,126
718,867,126
719,868,126
720,869,126
721,870,126
722,961,126
723,962,126
724,963,126
725,964,126
726,965,126
727,966,126
728,967,126
