Strain, Stress
0, 6.615575358388185
0.9009009009009219, 8.829340659927368
1.8018018018018012, 11.81648205099161
2.702702702702709, 15.19364002179023
3.6036036036036023, 18.136664239513337
4.504504504504524, 20.777747985483728
5.405405405405418, 23.53288260950785
6.306306306306311, 26.23860211593511
7.207207207207205, 28.099196191552068
8.108108108108127, 28.950010538780376
9.00900900900902, 29.211608176820533
9.909909909909913, 29.413481031006427
10.810810810810807, 29.650194039051804
11.711711711711729, 29.74471864395852
12.612612612612622, 29.657972255585953
13.513513513513516, 29.558402609824533
14.41441441441441, 29.44258670498364
15.315315315315331, 29.371306979221885
16.216216216216225, 29.379247028631852
17.117117117117118, 29.34449035903731
18.01801801801801, 29.274108240081915
18.918918918918934, 29.23653788188814
19.819819819819827, 29.248258004928914
20.720720720720735, 29.165194665664274
21.621621621621614, 29.087162282138422
22.52252252252252, 29.0977661397404
23.42342342342343, 29.007423789922626
24.324324324324337, 28.92060689172017
25.225225225225216, 28.87380758304664
26.126126126126124, 28.7721016885384
27.02702702702703, 28.66428640115933
27.92792792792794, 28.565023428974698
28.828828828828833, 28.46255108338127
29.729729729729726, 28.360375483825692
30.63063063063062, 28.25854328714928
31.531531531531513, 28.156497791994013
32.432432432432435, 28.054504518308462
33.33333333333333, 27.952516952563286
34.23423423423422, 27.85052033374039
35.13513513513517, 27.74852611205604
36.03603603603604, 27.64652390067812
36.93693693693693, 27.544559216207404
37.837837837837824, 27.442520999209194
38.73873873873872, 27.340469336784764
39.63963963963967, 27.238942197004945
40.54054054054053, 27.13578318809492
41.44144144144143, 27.034376135435494
42.34234234234235, 26.93796488377329
43.24324324324327, 26.808775531123217
44.144144144144136, 26.645761262370684
45.04504504504503, 26.49029828648011
45.94594594594592, 26.379831985605506
46.846846846846844, 26.2768859183508
47.747747747747766, 26.17813866285516
48.64864864864863, 26.13272850492713
49.54954954954955, 26.041158962699356
50.45045045045045, 25.957305552132027
51.35135135135137, 25.965860107796146
52.25225225225226, 25.92317245078692
53.15315315315313, 25.889350971262843
54.05405405405405, 25.892763292503574
54.95495495495494, 25.840639139542105
55.855855855855864, 25.81206171369581
56.75675675675676, 25.826270047997724
57.65765765765765, 25.8271886546828
58.558558558558545, 25.77556844458161
59.45945945945947, 25.74885269011091
60.36036036036036, 25.74964037042359
61.261261261261254, 25.69419699398334
62.16216216216215, 25.679272036842804
63.06306306306304, 25.67013269718811
63.96396396396399, 25.61321474904996
64.86486486486486, 25.61064799146523
65.76576576576575, 25.58754677250532
66.6666666666667, 25.535994592424146
67.5675675675676, 25.540902994953115
68.46846846846849, 25.50347414552735
69.36936936936941, 25.462757138004534
70.2702702702703, 25.468388471707982
71.17117117117122, 25.421190024348263
72.07207207207215, 25.387018114193836
72.97297297297301, 25.396087887442974
73.87387387387393, 25.3963225758842
74.77477477477488, 25.394216992472877
75.67567567567575, 25.396280647624224
76.57657657657664, 25.3959586753638
77.47747747747759, 25.387766843030448
78.37837837837849, 25.4196877639844
79.27927927927938, 25.470096946924414
80.1801801801803, 25.47091948408206
81.0810810810812, 25.457371410495426
81.98198198198212, 25.481121112807656
82.88288288288304, 25.535285179060423
83.7837837837839, 25.544479654858804
84.68468468468483, 25.52971513879237
85.58558558558578, 25.543312459165833
86.48648648648664, 25.598311903848654
87.38738738738753, 25.617279988487994
88.28828828828848, 25.60299301065369
89.18918918918938, 25.60747635831177
90.09009009009027, 25.659729442387714
90.9909909909912, 25.688931125462062
91.89189189189209, 25.676911582018732
92.79279279279301, 25.673982665939164
93.69369369369393, 25.720197971358047
94.5945945945948, 25.75910268164455
95.49549549549572, 25.75114005523477
96.39639639639667, 25.742600251367165
97.29729729729753, 25.780330467335247
98.19819819819843, 25.82752395476092
99.09909909909938, 25.825474622845604
100.00000000000027, 25.812227103324645
100.90090090090116, 25.84254251071505
101.80180180180209, 25.89353038799476
102.70270270270298, 25.889614577053806
103.6036036036039, 25.924009644012017
104.50450450450482, 25.96759170689745
105.40540540540569, 25.96149245515295
106.30630630630661, 26.008102470898592
107.20720720720756, 26.038830814259853
108.10810810810842, 26.0364612799915
109.00900900900932, 26.089288965916367
109.90990990991027, 26.116576202193755
110.81081081081119, 26.102107564525525
111.71171171171206, 26.102035823748395
112.61261261261298, 26.154294027452607
113.51351351351387, 26.179727646664603
114.4144144144148, 26.17969369280725
115.31531531531571, 26.235401779704148
116.21621621621658, 26.24986671255266
117.1171171171175, 26.258483254691726
118.01801801801845, 26.315057996007397
118.91891891891932, 26.328263326634385
119.81981981982021, 26.312210634196035
120.72072072072116, 26.323657297308444
121.62162162162208, 26.37962525721369
122.52252252252295, 26.393241094852513
123.42342342342387, 26.398584413289043
124.32432432432476, 26.455607202734384
125.22522522522569, 26.520451843108006
126.12612612612661, 26.526835759897466
127.02702702702747, 26.542017564336177
127.9279279279284, 26.655144841930024
128.82882882882933, 26.675081692710876
129.7297297297302, 26.70114281639539
130.63063063063112, 26.813294150674793
131.53153153153198, 26.82302965912585
132.4324324324329, 26.834754111704072
133.33333333333377, 26.897901085855082
134.2342342342347, 26.948911217064563
135.13513513513556, 26.994982418149036
136.03603603603648, 27.054807729276718
136.93693693693734, 27.10214098468134
137.83783783783826, 27.090182608449567
138.73873873873913, 27.159402960107954
139.63963963964005, 27.250089245250834
140.54054054054092, 27.23805614930032
141.44144144144184, 27.325489354466214
142.3423423423427, 27.39387766009716
143.24324324324363, 27.3862851814673
144.1441441441445, 27.490547697976268
145.0450450450454, 27.54123963685862
145.94594594594628, 27.53195677941912
146.8468468468472, 27.58577678063024
