Strain,Stress
0.0,0.0
0.9009009009009009,7.651364894891156
1.8018018018018018,13.897740953852002
2.7027027027027026,18.879256439047232
3.6036036036036037,22.73603961264156
4.504504504504505,25.608218736799675
5.405405405405405,27.635922073686288
6.306306306306307,28.959277885466097
7.207207207207207,29.718414434303803
8.108108108108109,30.053459982364114
9.00900900900901,30.104542791811728
9.90990990990991,30.011791124811346
10.81081081081081,29.8982825378747
11.711711711711711,29.794871086293195
12.612612612612613,29.70137339545223
13.513513513513514,29.617582701566196
14.414414414414415,29.543292240849496
15.315315315315315,29.478285499093474
16.216216216216218,29.421825437318756
17.117117117117118,29.3724032549272
18.01801801801802,29.328447697444783
18.91891891891892,29.288387510397488
19.81981981981982,29.2506514393113
20.72072072072072,29.21366822971219
21.62162162162162,29.175866627126148
22.52252252252252,29.13567537707914
23.423423423423422,29.09152322509715
24.324324324324326,29.04183891670617
25.225225225225227,28.985056660960808
26.126126126126128,28.920271753880876
27.027027027027028,28.847863420716088
27.92792792792793,28.768358401989392
28.82882882882883,28.682283438223728
29.72972972972973,28.590165269942045
30.63063063063063,28.492530637667286
31.53153153153153,28.38990628192239
32.432432432432435,28.28281894323031
33.333333333333336,28.17179536211399
34.234234234234236,28.05736227909636
35.13513513513514,27.940046434700378
36.03603603603604,27.82037456944898
36.93693693693694,27.698873423865113
37.83783783783784,27.576069738471723
38.73873873873874,27.452490253791762
39.63963963963964,27.32866171034815
40.54054054054054,27.205110848663846
41.44144144144144,27.082364409261803
42.34234234234234,26.960949132664947
43.24324324324324,26.84139175939624
44.14414414414414,26.724219029978602
45.04504504504504,26.609957684935
45.945945945945944,26.499134464788376
46.846846846846844,26.39227611006166
47.747747747747745,26.289909361277804
48.64864864864865,26.192560958959753
49.54954954954955,26.100757643630452
50.450450450450454,26.015010989744003
51.351351351351354,25.935483752171415
52.252252252252255,25.86198986620057
53.153153153153156,25.794328101050514
54.054054054054056,25.732297225940297
54.95495495495496,25.675696010088966
55.85585585585586,25.624323222715578
56.75675675675676,25.577977633039183
57.65765765765766,25.536458010278825
58.55855855855856,25.499563123653555
59.45945945945946,25.467091742382433
60.36036036036036,25.438842635684495
61.26126126126126,25.4146145727788
62.16216216216216,25.394206322884394
63.06306306306306,25.377416655220333
63.96396396396396,25.36404433900566
64.86486486486487,25.353888143459436
65.76576576576576,25.3467468378007
66.66666666666667,25.342419191248506
67.56756756756756,25.340703973021906
68.46846846846847,25.341399952339952
69.36936936936937,25.34430589842168
70.27027027027027,25.349220580486165
71.17117117117117,25.35594276775244
72.07207207207207,25.364271229439545
72.97297297297297,25.37400473476656
73.87387387387388,25.384942052952518
74.77477477477477,25.396881953216464
75.67567567567568,25.409634725309044
76.57657657657657,25.423110930274312
77.47747747747748,25.437272758205296
78.37837837837839,25.452082825881348
79.27927927927928,25.46750375008187
80.18018018018019,25.483498147586214
81.08108108108108,25.500028635173756
81.98198198198199,25.51705782962387
82.88288288288288,25.534548347715923
83.78378378378379,25.5524628062293
84.68468468468468,25.57076382194337
85.58558558558559,25.589414011637498
86.48648648648648,25.608375992091055
87.38738738738739,25.62761238008343
88.28828828828829,25.64708579239397
89.1891891891892,25.66675884580208
90.09009009009009,25.686594157087104
90.990990990991,25.70655434302843
91.89189189189189,25.726602020405423
92.7927927927928,25.746699805997462
93.69369369369369,25.766810316583914
94.5945945945946,25.78689616894415
95.49549549549549,25.80691997985755
96.3963963963964,25.826844366103487
97.2972972972973,25.846631944461322
98.1981981981982,25.86624533171044
99.0990990990991,25.885647144630212
100.0,25.9048
100.90090090090091,25.923681732752723
101.8018018018018,25.94233105043543
102.70270270270271,25.960801878748704
103.6036036036036,25.979148143393143
104.50450450450451,25.997423770069325
105.4054054054054,26.01568268447785
106.30630630630631,26.0339788123193
107.2072072072072,26.052366079294256
108.10810810810811,26.070898411103308
109.009009009009,26.089629733447047
109.90990990990991,26.10861397202607
110.8108108108108,26.127905052540953
111.71171171171171,26.147556900692283
112.61261261261261,26.167623442180663
113.51351351351352,26.188158602706654
114.41441441441441,26.209216307970873
115.31531531531532,26.230850483673894
116.21621621621622,26.253115055516307
117.11711711711712,26.276063949198694
118.01801801801803,26.29975109042165
118.91891891891892,26.324230404885768
119.81981981981983,26.34955581829162
120.72072072072072,26.375781256339806
121.62162162162163,26.402960644730907
122.52252252252252,26.431147909165528
123.42342342342343,26.460396975344224
124.32432432432432,26.490761768967623
125.22522522522523,26.522296028806736
126.12612612612612,26.55503087515727
127.02702702702703,26.588953499871078
127.92792792792793,26.62404604770221
128.82882882882882,26.660290663404727
129.72972972972974,26.697669491732665
130.63063063063063,26.736164677440073
131.53153153153153,26.77575836528102
132.43243243243242,26.816432700009535
133.33333333333334,26.858169826379672
134.23423423423424,26.900951889145503
135.13513513513513,26.944761033061045
136.03603603603605,26.98957940288038
136.93693693693695,27.035389143357534
137.83783783783784,27.082172399246566
138.73873873873873,27.12991131530153
139.63963963963965,27.178588036276473
140.54054054054055,27.22818470692545
141.44144144144144,27.2786834720025
142.34234234234233,27.330066476261678
143.24324324324326,27.382315864457045
144.14414414414415,27.435413781342643
145.04504504504504,27.489342371672524
145.94594594594594,27.544083780200722
146.84684684684686,27.59962015168132
147.74774774774775,27.655933630868336
148.64864864864865,27.713006362515852
149.54954954954954,27.77082049137789
150.45045045045046,27.829358620240193
151.35135135135135,27.88861388661712
152.25225225225225,27.94858996275164
153.15315315315314,28.00929097891845
154.05405405405406,28.0707210653922
154.95495495495496,28.13288435244757
155.85585585585585,28.19578497035919
156.75675675675677,28.259427049401772
